system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-inf,78.97,78.62
seamlessm4t,both,-inf,81.61,79.05
canary-v2,both,-inf,86.45,82.72
owsm4.0-ctc,both,66.0,91.96,79.81
gemma_whisper,both,-inf,78.23,78.68
tower_whisper,both,-inf,79.25,80.8
aya_whisper,both,-inf,71.79,76.5
aya_seamlessm4t,both,-inf,82.29,80.37
gemma_seamlessm4t,both,-inf,83.37,80.49
tower_seamlessm4t,both,-inf,82.97,80.56
aya_canary-v2,both,-inf,86.05,85.62
gemma_canary-v2,both,-inf,87.58,86.49
tower_canary-v2,both,-inf,85.82,86.03
aya_owsm4.0-ctc,both,-inf,89.21,87.41
gemma_owsm4.0-ctc,both,-252.03,92.52,89.1
tower_owsm4.0-ctc,both,-inf,100.0,100.0
desta2-8b,both,-inf,87.9,83.69
qwen2audio-7b,both,96.68,87.28,81.18
phi4multimodal,both,96.74,50.9,61.71
voxtral-small-24b,both,-inf,70.03,72.79
spirelm,right_only,,,
