system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,87.0,55.82,51.03
canary-v2,both,-inf,62.72,56.59
owsm4.0-ctc,both,26.0,77.79,69.55
gemma_whisper,both,-inf,48.43,44.36
tower_whisper,both,-inf,48.94,43.92
aya_whisper,both,-inf,46.79,42.7
aya_seamlessm4t,both,-inf,50.32,47.35
gemma_seamlessm4t,both,-inf,49.45,47.6
tower_seamlessm4t,both,-inf,50.95,47.68
aya_canary-v2,both,-inf,53.53,50.47
gemma_canary-v2,both,-inf,54.59,52.33
tower_canary-v2,both,-inf,55.38,52.02
aya_owsm4.0-ctc,both,-inf,62.47,56.89
gemma_owsm4.0-ctc,both,-inf,65.54,62.2
tower_owsm4.0-ctc,both,,99.28,85.16
desta2-8b,both,-inf,66.44,61.14
qwen2audio-7b,both,98.17,36.71,38.96
phi4multimodal,both,97.79,52.83,51.87
voxtral-small-24b,both,,30.52,31.06
spirelm,both,97.5,68.45,81.81
