system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,113.75,90.53,59.06
canary-v2,both,114.5,91.28,62.68
owsm4.0-ctc,both,106.8,99.08,69.39
gemma_whisper,both,135.0,81.38,51.11
tower_whisper,both,131.5,82.35,51.71
aya_whisper,both,121.5,81.41,50.08
aya_seamlessm4t,both,101.75,83.49,54.94
gemma_seamlessm4t,both,103.5,82.97,54.74
tower_seamlessm4t,both,103.0,83.4,54.95
aya_canary-v2,both,104.67,84.48,59.07
gemma_canary-v2,both,114.5,84.63,59.59
tower_canary-v2,both,118.5,85.34,60.15
aya_owsm4.0-ctc,both,113.0,90.42,68.09
gemma_owsm4.0-ctc,both,136.5,90.75,68.65
tower_owsm4.0-ctc,both,100.0,99.79,84.45
desta2-8b,both,136.0,94.17,67.92
qwen2audio-7b,both,101.5,91.16,42.77
phi4multimodal,both,103.45,93.98,54.2
voxtral-small-24b,both,101.33,66.76,37.65
spirelm,both,102.25,98.11,79.22
