system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,inf,91.29,65.03
canary-v2,both,inf,92.16,69.98
owsm4.0-ctc,both,117.2,99.35,67.88
gemma_whisper,both,198.0,82.99,58.27
tower_whisper,both,149.0,84.14,57.42
aya_whisper,both,166.0,82.22,56.84
aya_seamlessm4t,both,103.0,83.95,61.43
gemma_seamlessm4t,both,102.0,84.11,61.31
tower_seamlessm4t,both,101.5,85.21,61.48
aya_canary-v2,both,inf,84.83,65.7
gemma_canary-v2,both,108.5,85.64,65.04
tower_canary-v2,both,114.5,86.5,66.54
aya_owsm4.0-ctc,both,inf,90.24,73.86
gemma_owsm4.0-ctc,both,inf,90.95,74.46
tower_owsm4.0-ctc,both,100.0,99.77,83.93
desta2-8b,both,140.0,94.37,70.41
qwen2audio-7b,both,101.57,90.31,50.86
phi4multimodal,both,101.41,98.96,61.15
voxtral-small-24b,both,100.0,73.15,43.34
spirelm,both,106.0,97.04,79.91
