system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,inf,90.18,60.54
canary-v2,both,inf,91.17,64.55
owsm4.0-ctc,both,105.44,99.32,67.19
gemma_whisper,both,165.02,80.91,51.88
tower_whisper,both,inf,81.05,51.22
aya_whisper,both,inf,80.88,51.11
aya_seamlessm4t,both,inf,82.47,57.43
gemma_seamlessm4t,both,inf,81.81,57.18
tower_seamlessm4t,both,inf,82.48,57.15
aya_canary-v2,both,inf,83.96,60.77
gemma_canary-v2,both,inf,82.71,60.94
tower_canary-v2,both,inf,83.91,61.7
aya_owsm4.0-ctc,both,inf,89.92,70.03
gemma_owsm4.0-ctc,both,inf,90.26,71.75
tower_owsm4.0-ctc,both,inf,90.73,71.91
desta2-8b,both,116.01,94.81,67.29
qwen2audio-7b,both,100.69,92.15,46.23
phi4multimodal,both,106.89,91.27,50.35
voxtral-small-24b,both,inf,64.77,39.04
spirelm,both,inf,96.8,80.5
