system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-inf,61.58,56.97
canary-v2,both,-inf,68.07,62.52
owsm4.0-ctc,both,89.5,79.94,67.97
gemma_whisper,both,-inf,55.07,52.77
tower_whisper,both,-inf,55.48,51.25
aya_whisper,both,-inf,53.85,51.46
aya_seamlessm4t,both,-inf,56.35,53.35
gemma_seamlessm4t,both,97.5,56.25,53.25
tower_seamlessm4t,both,-inf,56.89,53.92
aya_canary-v2,both,-inf,60.46,58.24
gemma_canary-v2,both,-inf,60.88,58.73
tower_canary-v2,both,97.5,59.78,56.71
aya_owsm4.0-ctc,both,-inf,69.03,67.44
gemma_owsm4.0-ctc,both,-inf,73.22,69.72
tower_owsm4.0-ctc,both,-inf,68.64,60.64
desta2-8b,both,66.0,72.06,67.69
qwen2audio-7b,both,99.38,40.81,43.77
phi4multimodal,both,97.24,62.09,62.68
voxtral-small-24b,both,-inf,35.21,36.89
spirelm,both,96.5,79.79,80.13
