system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,108.0,92.61,61.54
canary-v2,both,150.01,92.78,63.51
owsm4.0-ctc,both,100.53,99.52,55.85
gemma_whisper,both,124.33,85.54,51.19
tower_whisper,both,117.5,86.38,51.22
aya_whisper,both,123.5,84.94,50.42
aya_seamlessm4t,both,103.0,86.54,55.26
gemma_seamlessm4t,both,102.0,86.71,55.67
tower_seamlessm4t,both,103.0,87.52,55.54
aya_canary-v2,both,106.0,87.56,59.22
gemma_canary-v2,both,inf,87.87,59.85
tower_canary-v2,both,112.0,88.57,60.75
aya_owsm4.0-ctc,both,115.5,92.41,68.48
gemma_owsm4.0-ctc,both,139.5,93.29,69.87
tower_owsm4.0-ctc,both,119.0,94.01,70.86
desta2-8b,both,104.0,95.53,66.04
qwen2audio-7b,both,100.59,92.42,43.26
phi4multimodal,both,104.18,94.84,53.99
voxtral-small-24b,both,102.25,76.58,37.61
spirelm,both,104.4,97.79,81.05
