system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,inf,91.09,58.15
canary-v2,both,101.0,100.0,
owsm4.0-ctc,both,inf,97.08,68.43
gemma_whisper,both,inf,75.86,49.46
tower_whisper,both,inf,75.95,49.18
aya_whisper,both,102.0,76.74,48.4
aya_seamlessm4t,both,inf,76.82,55.48
gemma_seamlessm4t,both,,75.71,55.83
tower_seamlessm4t,both,,75.76,56.12
aya_canary-v2,both,inf,77.43,58.13
gemma_canary-v2,both,inf,76.76,58.67
tower_canary-v2,both,inf,75.97,59.25
aya_owsm4.0-ctc,both,inf,82.17,67.66
gemma_owsm4.0-ctc,both,inf,83.1,68.13
tower_owsm4.0-ctc,both,inf,82.92,70.03
desta2-8b,both,101.55,98.27,73.63
qwen2audio-7b,both,103.33,80.98,45.21
phi4multimodal,both,106.02,92.28,58.57
voxtral-small-24b,both,,67.41,40.31
spirelm,both,,90.47,74.18
