system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-inf,32.6,41.72
seamlessm4t,both,-inf,35.89,46.62
canary-v2,both,99.33,38.6,48.61
owsm4.0-ctc,both,60.01,55.08,59.62
gemma_whisper,both,-inf,33.0,40.44
tower_whisper,both,-inf,33.33,40.26
aya_whisper,both,-inf,32.26,39.74
aya_seamlessm4t,both,-inf,35.43,46.11
gemma_seamlessm4t,both,-inf,36.56,47.23
tower_seamlessm4t,both,-inf,36.43,47.11
aya_canary-v2,both,-inf,41.0,51.72
gemma_canary-v2,both,94.0,41.82,52.02
tower_canary-v2,both,-inf,41.84,52.11
aya_owsm4.0-ctc,both,67.99,50.5,59.85
gemma_owsm4.0-ctc,both,86.0,51.24,60.79
tower_owsm4.0-ctc,both,-inf,51.46,60.7
desta2-8b,both,-inf,54.43,65.1
qwen2audio-7b,both,96.25,41.35,54.08
phi4multimodal,both,98.04,20.4,30.24
voxtral-small-24b,both,-inf,21.92,31.83
spirelm,right_only,,,
