system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,108.0,94.3,78.09
seamlessm4t,both,inf,93.2,78.93
canary-v2,both,inf,95.15,81.14
owsm4.0-ctc,both,inf,99.11,75.67
gemma_whisper,both,100.5,91.63,77.88
tower_whisper,both,inf,91.26,82.4
aya_whisper,both,101.5,88.26,74.2
aya_seamlessm4t,both,102.0,92.68,80.08
gemma_seamlessm4t,both,103.0,93.36,80.49
tower_seamlessm4t,both,inf,93.02,80.8
aya_canary-v2,both,126.0,92.39,82.25
gemma_canary-v2,both,127.0,93.18,82.49
tower_canary-v2,both,inf,92.17,82.32
aya_owsm4.0-ctc,both,inf,95.24,82.26
gemma_owsm4.0-ctc,both,155.49,96.05,83.44
tower_owsm4.0-ctc,both,inf,95.88,83.28
desta2-8b,both,105.33,98.11,81.65
qwen2audio-7b,both,105.33,95.69,79.55
phi4multimodal,both,102.0,84.43,62.62
voxtral-small-24b,both,103.0,83.86,69.95
spirelm,right_only,,,
