system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,inf,83.68,44.36
seamlessm4t,both,inf,79.28,45.94
canary-v2,both,inf,87.86,58.62
owsm4.0-ctc,both,105.2,97.49,62.03
gemma_whisper,both,inf,68.66,40.95
tower_whisper,both,inf,67.01,40.54
aya_whisper,both,inf,65.99,38.46
aya_seamlessm4t,both,100.5,69.85,42.7
gemma_seamlessm4t,both,inf,72.37,43.97
tower_seamlessm4t,both,inf,71.62,44.18
aya_canary-v2,both,110.0,76.15,58.92
gemma_canary-v2,both,inf,77.88,59.64
tower_canary-v2,both,inf,76.74,59.93
aya_owsm4.0-ctc,both,102.5,81.14,65.88
gemma_owsm4.0-ctc,both,inf,83.7,67.69
tower_owsm4.0-ctc,both,103.0,82.73,66.7
desta2-8b,both,102.0,91.76,73.42
qwen2audio-7b,both,109.0,87.34,56.44
phi4multimodal,both,102.53,79.76,22.58
voxtral-small-24b,both,101.0,59.68,27.62
spirelm,right_only,,,
