system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-inf,40.22,42.82
seamlessm4t,both,99.0,44.19,47.6
canary-v2,both,-inf,50.93,55.43
owsm4.0-ctc,both,-89.02,62.43,67.02
gemma_whisper,both,92.0,39.59,42.42
tower_whisper,both,69.33,39.69,43.36
aya_whisper,both,91.67,38.41,41.43
aya_seamlessm4t,both,76.0,47.43,54.59
gemma_seamlessm4t,both,-inf,47.8,54.51
tower_seamlessm4t,both,-inf,48.14,54.88
aya_canary-v2,both,-inf,51.68,57.34
gemma_canary-v2,both,-inf,53.36,58.19
tower_canary-v2,both,-inf,52.13,57.91
aya_owsm4.0-ctc,both,65.5,53.74,60.87
gemma_owsm4.0-ctc,both,-inf,57.34,65.35
tower_owsm4.0-ctc,both,54.49,56.68,65.07
desta2-8b,both,-inf,57.42,64.13
qwen2audio-7b,both,92.8,49.21,55.56
phi4multimodal,both,95.5,17.69,27.09
voxtral-small-24b,both,98.71,30.73,35.53
spirelm,right_only,,,
