system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,98.0,39.14,40.56
seamlessm4t,both,-inf,42.57,46.51
canary-v2,both,99.58,-282.07,-120.63
owsm4.0-ctc,both,94.91,61.7,39.53
gemma_whisper,both,95.75,34.18,38.05
tower_whisper,both,86.0,33.77,37.44
aya_whisper,both,88.0,31.3,35.74
aya_seamlessm4t,both,95.5,39.3,46.85
gemma_seamlessm4t,both,92.5,45.32,51.5
tower_seamlessm4t,both,-inf,42.28,47.84
aya_canary-v2,both,99.68,-43.99,-5.15
gemma_canary-v2,right_only,,,
tower_canary-v2,both,99.76,-76.66,-63.97
aya_owsm4.0-ctc,both,99.0,45.02,53.66
gemma_owsm4.0-ctc,both,97.8,50.19,56.16
tower_owsm4.0-ctc,both,-inf,49.1,53.74
desta2-8b,both,98.83,50.95,60.02
qwen2audio-7b,both,99.13,12.82,16.96
phi4multimodal,both,98.65,12.85,16.69
voxtral-small-24b,both,100.0,27.22,36.53
spirelm,right_only,,,
