system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-2.02808112324493,39.98930076966513,39.913935682307724,46.36796562439891,46.047411743673536
canary-v2,-7.956318252730108,35.82337645528469,33.82203016768379,42.24244591390624,41.00702943348627
owsm4.0-ctc,-11.54446177847114,15.231732867623265,13.837941392163586,25.47628014768342,23.64544088773534
gemma_whisper,-8.424336973478939,49.14167625056042,48.75225408233458,54.91513381603169,53.73890851617046
tower_whisper,-8.580343213728549,48.50647733731314,48.25009719364915,55.5186951512619,54.30492433819588
aya_whisper,-3.9001560062402496,50.54098346878232,50.43349984448618,55.93448220933794,55.383678216214015
aya_seamlessm4t,-0.31201248049922,47.2358797389241,47.17646195480307,50.9580909950127,50.918846042730884
gemma_seamlessm4t,-0.46801872074883,47.89727959032178,47.82002243692529,50.650797667223,50.59108704752791
tower_seamlessm4t,-0.46801872074883,46.70024474478921,46.53981227142948,50.787243549239804,50.70975076017811
aya_canary-v2,-0.7800312012480499,44.218013392549224,44.1742019098653,48.077809264340004,47.98875836170222
gemma_canary-v2,-4.212168486739469,43.38760317025151,42.935890899642764,46.702178285781194,46.091970361408876
tower_canary-v2,-4.5241809672386895,42.30449997518624,42.24005614590719,47.11065172114629,46.493853539716625
aya_owsm4.0-ctc,-3.1201248049921997,35.71205594419689,35.21166870779069,41.9071153399074,41.36279033912512
gemma_owsm4.0-ctc,-14.040561622464898,33.59012210227306,32.06854979879864,38.31253870972977,36.1983875425855
tower_owsm4.0-ctc,-0.0,0.6760598002655485,0.6760598002655485,14.255425030606773,14.255425030606773
desta2-8b,-3.43213728549142,29.642876061188076,29.456681860032575,36.07416214441733,35.60218176631585
qwen2audio-7b,-3.43213728549142,54.36871995143418,52.704693652375624,56.15765026446531,54.45778756961808
phi4multimodal,-56.63026521060842,44.02871294084838,32.1942710283208,69.41500268121034,34.13250498392281
voxtral-small-24b,-0.0,66.70276658395059,66.70276658395059,67.37019973523716,67.37019973523716
spirelm,-0.7800312012480499,27.228351243386584,26.935450522650427,16.43932934911477,16.300868221911692
