system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-8.553654743390357,32.50445854951212,31.70691527113388,38.245439355610685,37.03469932426932
canary-v2,-9.020217729393467,30.880810734550835,28.230615863811167,35.307619835772954,33.878732267926516
owsm4.0-ctc,-15.863141524105753,13.12723994217987,10.98167636420456,19.765446577250124,17.313868266242103
gemma_whisper,-10.88646967340591,42.451802730513954,41.86825735048966,47.288040675854376,45.575919458106696
tower_whisper,-9.79782270606532,41.218378556831446,40.875200356517574,46.627653662468745,45.11397632177844
aya_whisper,-6.6874027993779155,42.291968978118746,42.06082833564115,47.8331418971576,46.74574562622173
aya_seamlessm4t,-1.088646967340591,38.21460068921093,38.04082666094158,42.26371140956508,41.99676271730782
gemma_seamlessm4t,-1.088646967340591,38.659604589963216,38.48986064122402,42.45816023084647,42.183828562451744
tower_seamlessm4t,-0.9331259720062209,37.51848042757478,37.28479328037791,42.40189999295616,42.153088746137605
aya_canary-v2,-2.177293934681182,34.44291967579959,34.08396115189949,38.83763750664554,38.339125902665714
gemma_canary-v2,-4.5101088646967336,35.377020890985264,34.976224235066354,38.59215111675937,37.73932288260334
tower_canary-v2,-5.7542768273716955,33.670183906844386,33.086695346824854,38.4318167161237,37.38417156840186
aya_owsm4.0-ctc,-4.043545878693624,25.918832883864496,25.75714743267136,29.926753550489803,29.309771682713677
gemma_owsm4.0-ctc,-11.35303265940902,25.808350736301392,24.80924716939451,30.69504607486224,28.751880865005276
tower_owsm4.0-ctc,-0.0,0.5796931906028249,0.5796931906028249,14.299338907698637,14.299338907698637
desta2-8b,-5.598755832037325,23.97872944512227,23.304955714412642,28.26733709447677,27.136366415774653
qwen2audio-7b,-4.199066874027993,48.42304098772966,46.530110943929216,48.6309996178927,46.462661664625905
phi4multimodal,-45.56765163297045,45.08803333636391,36.15823154524548,61.86986738123568,36.53884392063688
voxtral-small-24b,-0.6220839813374806,58.87943626265874,58.47561376943929,59.80471875257848,59.55960706548409
spirelm,-1.3996889580093312,9.807653828319829,9.158330713423382,17.491816688462233,17.21376871217975
