system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-5.0,32.44634567769245,31.763930055219674,36.194551731750835,35.47531830758089
canary-v2,-9.21875,30.76550330296159,27.963560713082558,33.51359257048898,31.966248962962705
owsm4.0-ctc,-13.593749999999998,11.584760075807566,9.264476248621946,17.428329130634665,15.265010808361696
gemma_whisper,-10.15625,42.78933426919393,42.592169048218054,46.16952656535432,44.72445198567584
tower_whisper,-8.4375,42.60247903391719,42.447402738779786,46.72340258373879,45.53509746911004
aya_whisper,-7.187499999999999,42.63650895655155,42.47162692844868,46.52338661937392,45.52705017034896
aya_seamlessm4t,-0.78125,38.498621731810275,38.30138214211911,39.99462853564182,39.71392317820573
gemma_seamlessm4t,-1.09375,38.93566561476327,38.7633636711631,40.10899998640525,39.868575670261635
tower_seamlessm4t,-0.625,37.94377773636952,37.90959386462346,40.04365586093627,39.96175716049038
aya_canary-v2,-1.40625,35.26685484899208,35.198239150177685,36.967001145821996,36.79546043567825
gemma_canary-v2,-4.84375,36.70433214544319,36.229901399603115,37.495299433358014,36.590258536161855
tower_canary-v2,-5.0,35.27055835737846,35.056373685738066,36.63233512197621,35.93061337363906
aya_owsm4.0-ctc,-2.03125,26.92323604812846,26.735601311828944,27.736550736372013,27.435477165054177
gemma_owsm4.0-ctc,-12.03125,26.86748002581298,25.045064310356977,28.345654472941533,25.969553163740784
tower_owsm4.0-ctc,-13.125,25.623464339226487,24.81054653152823,27.78974255081266,25.84585732081905
desta2-8b,-2.5,23.34834915287793,23.193876968696713,26.005949356476776,25.600894942763265
qwen2audio-7b,-1.7187500000000002,46.16189835481346,45.63058361448348,43.69664264842868,42.45417611207813
phi4multimodal,-29.062500000000004,47.470225553307685,42.48704056562856,56.01666007132735,42.03018198662903
voxtral-small-24b,-0.46875,59.37013973505236,59.25800333232619,58.10213970253244,58.02260296884925
spirelm,-1.875,15.47927401959896,14.80321094989776,16.35493588830286,15.988006994230092
