system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-3.8876889848812093,34.39048237908736,34.02364746257501,41.17224235329013,40.24202822230869
canary-v2,-10.151187904967603,30.763401240046036,28.199751603165666,36.649416688000926,34.77385676793802
owsm4.0-ctc,-18.142548596112313,10.033709124406528,8.346303210660139,18.61687708106978,15.815426832463261
gemma_whisper,-19.222462203023756,41.81621722860934,41.10652609237069,47.85165550211368,44.9320268797131
tower_whisper,-12.095032397408207,41.57032985975624,40.98287526371669,48.541010808416885,46.56325715149453
aya_whisper,-14.686825053995682,42.92618188989343,42.39302924989882,48.4462634690476,46.24204674039687
aya_seamlessm4t,-2.159827213822894,40.485393423627315,40.09856019563345,44.87345189451528,44.42003894170855
gemma_seamlessm4t,-1.079913606911447,39.95310231772921,39.91062979145905,44.54575722662986,44.32201634118933
tower_seamlessm4t,-1.9438444924406046,39.813342994541635,39.78656026045138,44.336970208401816,44.030216247744484
aya_canary-v2,-1.2958963282937366,36.63676323334548,36.448347108667924,40.22924003048476,39.979595071022636
gemma_canary-v2,-3.455723542116631,36.54616316187459,36.03061658150434,40.01101983095606,39.388605746285705
tower_canary-v2,-1.079913606911447,37.068687804896165,37.03775382331587,41.500723869670544,41.350714243610526
aya_owsm4.0-ctc,-3.2397408207343417,28.12936326597473,27.94717531018844,31.04554547410282,30.53548862782455
gemma_owsm4.0-ctc,-15.550755939524837,26.126978665139717,24.105468140307565,31.1152814664188,28.49563694524842
tower_owsm4.0-ctc,-4.967602591792657,28.436815746402118,28.313544834149326,37.70524798118012,36.994302379003614
desta2-8b,-7.343412526997841,23.410403879363386,23.026596550807582,29.218235002834646,28.088108853278097
qwen2audio-7b,-1.079913606911447,45.80644465702914,45.49374394463154,46.84162681628638,46.369084192049684
phi4multimodal,-62.634989200863934,35.987753134309344,22.637967012355958,62.37625615514381,24.389273370767
voxtral-small-24b,-0.4319654427645789,60.5500653436323,60.540015025221244,61.27471134356237,61.21446034885122
spirelm,-1.511879049676026,17.336226021496827,16.772221148142805,17.497791440480594,17.188524843126203
