system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-2.4806201550387597,28.75646848881891,28.219157997582315,35.47467329705408,34.81278479907864
canary-v2,-7.751937984496124,27.51984715572624,25.463001116671307,34.41645672154981,33.10437908006269
owsm4.0-ctc,-18.449612403100776,10.558760916539867,8.321505116307463,18.061111098689626,15.222645183057748
gemma_whisper,-11.317829457364342,40.477537800729735,39.98835606334745,47.50149237165271,45.73860061679815
tower_whisper,-10.852713178294573,39.069830701147865,38.57328478458316,47.1750178667464,45.37459908876308
aya_whisper,-7.286821705426356,40.465301354264106,39.93070790813875,47.42813034228576,46.4025928646095
aya_seamlessm4t,-0.46511627906976744,35.661949881472324,35.57512671522392,41.8610413528459,41.76717718384524
gemma_seamlessm4t,-0.31007751937984496,35.29543992743011,35.28464170823726,41.57930353815241,41.5404117615648
tower_seamlessm4t,-0.9302325581395349,34.91890537932862,34.46125051430029,41.85612842787144,41.4456712298615
aya_canary-v2,-1.8604651162790697,32.51049701502157,32.32118937488674,38.53203156833039,38.241322786193486
gemma_canary-v2,-4.8062015503875966,32.5962868549565,32.05881371160811,38.42326383777829,37.73686342230139
tower_canary-v2,-5.5813953488372094,31.727801540655676,30.838923589203702,37.87579995197381,36.683169602770214
aya_owsm4.0-ctc,-4.8062015503875966,24.086582240393,23.462190279480097,29.67568062310822,28.917665032294487
gemma_owsm4.0-ctc,-12.248062015503876,22.95262628451799,21.733179200342462,29.547049348899563,27.71034183659295
tower_owsm4.0-ctc,-14.728682170542637,22.55258679759595,20.562160311188805,29.74824141624362,26.64355856503627
desta2-8b,-2.4806201550387597,21.418778167399324,21.32588672859724,28.589506574956946,28.246647534790892
qwen2audio-7b,-1.550387596899225,45.411079302869105,44.66494547636934,47.573991318543754,46.78283262391423
phi4multimodal,-42.7906976744186,42.272928616242815,33.82848963922308,60.4339182596336,36.85782202570013
voxtral-small-24b,-1.3953488372093024,56.71430184947428,56.04615209356759,59.82904288499046,59.08534029498696
spirelm,-3.4108527131782944,13.399177123964293,12.22043536430182,16.378445594549873,15.732094939336067
