system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-2.321981424148607,45.46188281674872,44.873892931377185,31.256361053132053,30.8577830623547
canary-v2,-100.0,17.091284641171384,0.0,43.032865101707976,0.0
owsm4.0-ctc,-9.13312693498452,24.813094215865476,22.753256380004416,19.72114451506374,18.235687361366978
gemma_whisper,-1.393188854489164,54.73649134300072,54.57479433323208,44.63867037773317,44.438274826381594
tower_whisper,-1.7027863777089782,54.19540071745775,54.08570196421892,45.41228204365854,45.14949582632481
aya_whisper,-0.30959752321981426,55.68088459525684,55.542327999699594,45.579493516369865,45.534835014227006
aya_seamlessm4t,-0.15479876160990713,54.93929036649019,54.841674737701474,39.4679926805798,39.435061836332636
gemma_seamlessm4t,-0.0,55.05680093971937,55.05680093971937,39.20638605421726,39.20638605421726
tower_seamlessm4t,-0.0,54.89328028063287,54.89328028063287,39.19423500987075,39.19423500987075
aya_canary-v2,-0.7739938080495357,53.0455970276989,52.81574821619795,37.28475708975969,37.18477066318128
gemma_canary-v2,-3.560371517027864,53.16682689053356,52.78622916479229,37.12915676666118,36.62605269267094
tower_canary-v2,-3.560371517027864,52.40643598679049,51.86892685986156,37.315350531055465,36.58811425784424
aya_owsm4.0-ctc,-5.263157894736842,47.935243592727296,45.76171780462974,29.137980355917197,28.227709643593222
gemma_owsm4.0-ctc,-10.68111455108359,43.62167590155321,42.07566871565562,29.382350431876286,27.813531378797336
tower_owsm4.0-ctc,-11.609907120743033,42.69222113314797,40.706257285163865,28.636189531707913,26.330889283964876
desta2-8b,-52.94117647058824,29.584052750200684,19.79525970895962,21.31528948381797,12.879099820426235
qwen2audio-7b,-1.5479876160990713,65.32341622217521,64.99104549069153,44.56204146654244,44.08734810218538
phi4multimodal,-49.38080495356037,48.97344775613247,38.74473970150431,59.890242113555914,31.936949782142698
voxtral-small-24b,-0.0,69.39650592826099,69.39650592826099,53.60549708292026,53.60549708292026
spirelm,-0.0,44.110460782567785,44.110460782567785,17.853933765088716,17.853933765088716
