system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-0.6607929515418502,57.899983869775276,57.83185951037554,50.83547907159356,50.71992219942684
seamlessm4t,-0.22026431718061676,55.78926532515345,55.73019110815115,47.4890607109679,47.46756946200316
canary-v2,-0.22026431718061676,51.15276749281106,51.15276749281106,42.97066331791818,42.94466143904771
owsm4.0-ctc,-8.81057268722467,27.73119530383711,27.0395832282331,22.165112620597043,20.62775931107742
gemma_whisper,-0.3303964757709251,61.2908497897145,61.2908497897145,55.35777481589016,55.305556126130504
tower_whisper,-1.3215859030837005,61.40762966168872,61.326359487905904,56.168331173010124,55.88239982050058
aya_whisper,-0.4405286343612335,62.337630492475064,62.337630492475064,56.55188932053289,56.487887450581056
aya_seamlessm4t,-0.22026431718061676,58.57537820049057,58.551075545636046,49.51096349016308,49.477935762202065
gemma_seamlessm4t,-0.4405286343612335,57.541679248279415,57.491445096447606,48.3481254350673,48.284115115106765
tower_seamlessm4t,-0.5506607929515419,57.5477318075785,57.40216226252165,48.593259764843445,48.4130650492065
aya_canary-v2,-0.5506607929515419,54.35883872762388,54.29565852676982,45.31820005881354,45.2263984766877
gemma_canary-v2,-0.6607929515418502,53.330120320230854,53.20593039304149,44.84386975745699,44.740735049593354
tower_canary-v2,-0.5506607929515419,53.633922617078355,53.45266639424841,44.829728717337225,44.72214883226195
aya_owsm4.0-ctc,-3.524229074889868,45.049495994322626,44.869560085269846,37.56565687324573,36.830809686562695
gemma_owsm4.0-ctc,-4.6255506607929515,43.891641196044006,43.502323557495544,36.438463771888074,35.29828805968756
tower_owsm4.0-ctc,-4.185022026431718,44.04804715743936,43.896289438206196,36.810378264020386,36.01682291956955
desta2-8b,-1.3215859030837005,39.742599248623534,39.352287152527715,28.714282849971777,28.47145390789135
qwen2audio-7b,-3.303964757709251,49.8477522670435,48.90083777064269,38.397693790347695,37.32628468054835
phi4multimodal,-6.057268722466961,70.89536609418592,68.68205468245014,65.75228624673568,61.14378000018782
voxtral-small-24b,-0.7709251101321586,72.49967771026795,72.15378969769908,63.924094675404184,63.61932708504343
spirelm,,,,,
