system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-1.088139281828074,51.61180761161385,51.448714629999316,50.78151083492569,50.53992450487586
seamlessm4t,-0.1088139281828074,47.60207304653587,47.59132445831423,45.55971034568399,45.539146370302085
canary-v2,-4.352557127312296,41.73290916573625,41.56961243196722,38.401501755498934,37.902715913268615
owsm4.0-ctc,-20.5658324265506,24.33094159978259,23.055861372423635,21.278594639172557,18.094326345750634
gemma_whisper,-2.6115342763873777,54.8310655673907,54.560734667183915,53.26221063743235,52.72297218484526
tower_whisper,-10.01088139281828,54.873809345852955,54.555625073344196,54.00466830357244,52.349434206272996
aya_whisper,-2.720348204570185,56.19805770872467,55.928826055666825,54.870284821980206,54.28151356458878
aya_seamlessm4t,-2.6115342763873777,46.795337859123656,46.6600003117965,40.643611975658736,40.355411797490326
gemma_seamlessm4t,-3.264417845484222,46.599351492877624,46.348089429966386,40.58633985988982,40.19416600173913
tower_seamlessm4t,-4.243743199129488,45.789005164093496,45.363821775531875,40.29536340679564,39.77057280148642
aya_canary-v2,-5.00544069640914,44.175456500027465,43.77336386835225,40.317347518880815,39.37402433139131
gemma_canary-v2,-5.00544069640914,43.01848930438273,42.03712651221096,39.76987183423826,38.05389407269646
tower_canary-v2,-4.896626768226333,43.84471156807278,43.22723540050809,40.05026314873755,38.8858751561067
aya_owsm4.0-ctc,-7.50816104461371,41.36099976593055,41.03915484517132,36.434362863592796,34.95002996999369
gemma_owsm4.0-ctc,-10.01088139281828,38.74464853654359,37.86185912812236,33.61537136964427,30.890886237494186
tower_owsm4.0-ctc,-9.902067464635474,38.726824254802835,38.39694456877724,33.538344139243364,31.365377543508295
desta2-8b,-3.6996735582154514,36.72266425466382,36.06387879682443,29.444954373441934,28.86469357132887
qwen2audio-7b,-7.834602829162132,42.5570416896076,41.48362525159309,37.21062023784475,35.313018125414004
phi4multimodal,-0.9793253536452665,73.8742244909715,73.65099857259497,67.65013572367738,66.85341814161968
voxtral-small-24b,-0.9793253536452665,63.46120671712276,63.23218616982668,60.25559134069187,60.03652127892624
spirelm,,,,,
