system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-0.4232804232804233,46.482279673013736,46.373606718595695,45.486123709096795,45.41439912129174
seamlessm4t,-1.164021164021164,49.87241647910504,49.416996385669584,46.51159629802264,46.367554226496
canary-v2,-27.61904761904762,25.665422620470565,9.347015274138684,14.967023060908394,9.729694295970221
owsm4.0-ctc,-17.77777777777778,9.948692022051134,8.40675011690331,15.098717554063393,12.529565198396247
gemma_whisper,-1.7989417989417988,60.99984886777149,60.45828949236681,56.60502375946158,56.186067027153165
tower_whisper,-1.4814814814814816,61.757905987409686,61.48890842768566,57.91561385744779,57.6785608049896
aya_whisper,-1.2698412698412698,64.19885060779316,63.98359009908936,59.52180544771846,59.347465611481795
aya_seamlessm4t,-1.9047619047619049,57.44605700140277,56.298193723341775,49.360246135811344,49.07821914684964
gemma_seamlessm4t,-3.1746031746031744,51.63242867664685,50.03643489543092,44.65329142119834,44.023363494447295
tower_seamlessm4t,-2.857142857142857,55.541443247359894,53.4612321698161,48.62020465924784,48.08293062247454
aya_canary-v2,-3.1746031746031744,36.90894903102249,35.696608233073405,15.202584215014847,14.520650876965622
gemma_canary-v2,,,,,
tower_canary-v2,-10.37037037037037,45.950649906213954,42.20137787483357,18.274565045795743,16.44643186655625
aya_owsm4.0-ctc,-0.21164021164021166,49.90621394027793,49.870373749370295,41.53900341024233,41.50307809664848
gemma_owsm4.0-ctc,-1.164021164021164,43.87442905842943,43.497919491895296,38.20307867828185,37.9624566810314
tower_owsm4.0-ctc,-0.4232804232804233,45.49963701260153,45.4432584754689,41.02148456705941,40.958174673653154
desta2-8b,-0.7407407407407408,40.95514243513188,40.58946347810604,29.962284225187013,29.79706918360005
qwen2audio-7b,-4.444444444444445,76.26780958024283,73.40136701493036,70.73306205647964,67.89696872943924
phi4multimodal,-7.724867724867725,79.0223765900526,73.96592419614237,75.95106670938472,69.59195549052859
voxtral-small-24b,-0.0,63.95828364914056,63.95828364914056,54.37852768828629,54.37852768828629
spirelm,,,,,
